EVENTTIME,OFFERID,ASIN,NOTIFICATIONID,SELLERID,ISBUYBOXWINNER,LISTINGPRICEAMOUNT,LISTINGPRICECURRENCYCODE,PRIMEINFORMATION_ISOFFERNATIONALPRIME,PRIMEINFORMATION_ISOFFERPRIME,SUBCONDITION
2024-05-17 09:50:57.759 Z,13,B00KJ75UIQ,b4cc4b52-7648-4459-83ac-0f1f29a65e93,A2I0HOF5WGMLJC,false,15.91,USD,false,false,new
2024-05-17 09:50:57.759 Z,14,B00KJ75UIQ,b4cc4b52-7648-4459-83ac-0f1f29a65e93,A13NYAASDR0XYP,false,12.7,USD,false,false,new
2024-05-17 09:50:57.759 Z,15,B00KJ75UIQ,b4cc4b52-7648-4459-83ac-0f1f29a65e93,A32YGV37EPHIKJ,false,10.29,USD,false,false,new
2024-05-17 09:50:57.759 Z,16,B00KJ75UIQ,b4cc4b52-7648-4459-83ac-0f1f29a65e93,A1ECJT9FQ4WMHJ,false,9.21,USD,false,false,new
2024-05-17 09:50:39.215 Z,1,B00O9XEDES,36a04b89-7957-4e0c-8b16-bf328d43c196,A1ECJT9FQ4WMHJ,true,5.2,USD,false,false,new
2024-05-17 09:50:39.215 Z,2,B00O9XEDES,36a04b89-7957-4e0c-8b16-bf328d43c196,AFF8XSNGT0QQC,true,6.1,USD,true,true,new
2024-05-17 09:50:39.215 Z,3,B00O9XEDES,36a04b89-7957-4e0c-8b16-bf328d43c196,A32YGV37EPHIKJ,false,6.29,USD,false,false,new
2024-05-17 09:50:39.215 Z,4,B00O9XEDES,36a04b89-7957-4e0c-8b16-bf328d43c196,A1TRWQZAM7IDEW,false,9.15,USD,false,false,new
2024-05-17 09:50:39.215 Z,5,B00O9XEDES,36a04b89-7957-4e0c-8b16-bf328d43c196,APSAI9VUG3A9O,false,8.83,USD,false,false,new
2024-05-17 09:50:39.215 Z,6,B00O9XEDES,36a04b89-7957-4e0c-8b16-bf328d43c196,A37RYXSF82P86Q,false,7.27,USD,false,false,new
2024-05-17 09:50:39.215 Z,7,B00O9XEDES,36a04b89-7957-4e0c-8b16-bf328d43c196,A2DF3HGBR01ATY,false,2.12,USD,false,false,new
2024-05-17 09:50:39.215 Z,8,B00O9XEDES,36a04b89-7957-4e0c-8b16-bf328d43c196,AE1KFNKJCC6SP,false,6.85,USD,false,false,new
2024-05-17 09:50:39.215 Z,9,B00O9XEDES,36a04b89-7957-4e0c-8b16-bf328d43c196,A14L21XUKD9T4O,false,6.1,USD,true,true,new
2024-05-17 09:50:39.215 Z,10,B00O9XEDES,36a04b89-7957-4e0c-8b16-bf328d43c196,AFF8XSNGT0QQC,false,8.54,USD,false,false,new
2024-05-17 09:50:39.215 Z,11,B00O9XEDES,36a04b89-7957-4e0c-8b16-bf328d43c196,A3TL07SMKKGDPP,false,6.4,USD,false,false,new
2024-05-17 09:50:39.215 Z,12,B00O9XEDES,36a04b89-7957-4e0c-8b16-bf328d43c196,A3A5024GKCOK6V,false,8.53,USD,false,false,new
2024-05-17 09:50:39.215 Z,13,B00O9XEDES,36a04b89-7957-4e0c-8b16-bf328d43c196,A2R2RITDJNW1Q6,false,7.27,USD,true,true,new
2024-05-17 09:50:39.215 Z,14,B00O9XEDES,36a04b89-7957-4e0c-8b16-bf328d43c196,AHEPIKNE2T3AF,false,6.09,USD,false,false,new
2024-05-17 09:50:39.215 Z,15,B00O9XEDES,36a04b89-7957-4e0c-8b16-bf328d43c196,ABOPLAY6RS86X,false,8.68,USD,false,false,new
2024-05-17 09:50:39.215 Z,16,B00O9XEDES,36a04b89-7957-4e0c-8b16-bf328d43c196,A3UACI1DKLHUO0,false,8,USD,false,false,new
2024-05-17 09:50:39.215 Z,17,B00O9XEDES,36a04b89-7957-4e0c-8b16-bf328d43c196,A3FDZHO6WYG0YF,false,5.21,USD,true,true,new
2024-05-17 09:50:39.215 Z,18,B00O9XEDES,36a04b89-7957-4e0c-8b16-bf328d43c196,A3TGQJ0D99FJ0T,false,6.3,USD,true,true,new
2024-05-17 09:50:39.215 Z,19,B00O9XEDES,36a04b89-7957-4e0c-8b16-bf328d43c196,A1Z9ZYA3TVLUDO,false,5.21,USD,false,false,new
2024-05-17 09:50:39.215 Z,20,B00O9XEDES,36a04b89-7957-4e0c-8b16-bf328d43c196,A1G2IX65IQJHUO,false,10.04,USD,false,true,new
2024-05-17 09:51:37.863 Z,1,B00V72J4UC,32a37e98-32c7-4c81-af5c-bd100ec8932a,A2I0HOF5WGMLJC,true,13.57,USD,false,false,new
2024-05-17 09:51:37.863 Z,2,B00V72J4UC,32a37e98-32c7-4c81-af5c-bd100ec8932a,A32YGV37EPHIKJ,true,13.56,USD,false,false,new
2024-05-17 09:51:37.863 Z,3,B00V72J4UC,32a37e98-32c7-4c81-af5c-bd100ec8932a,A1G2IX65IQJHUO,false,15.93,USD,false,false,new
2024-05-17 09:51:37.863 Z,4,B00V72J4UC,32a37e98-32c7-4c81-af5c-bd100ec8932a,AFF8XSNGT0QQC,false,13.55,USD,false,false,new
2024-05-17 09:51:43.948 Z,1,B00VUSQU9G,8d4b6861-2d11-4377-97c4-80b933883dae,A2I0HOF5WGMLJC,true,13.57,USD,false,false,new
2024-05-17 09:51:43.948 Z,2,B00VUSQU9G,8d4b6861-2d11-4377-97c4-80b933883dae,AFF8XSNGT0QQC,false,14.34,USD,false,false,new
2024-05-17 09:51:43.948 Z,3,B00VUSQU9G,8d4b6861-2d11-4377-97c4-80b933883dae,A3SOJ69JHIH1PD,false,13.95,USD,false,false,new
2024-05-17 09:51:43.948 Z,4,B00VUSQU9G,8d4b6861-2d11-4377-97c4-80b933883dae,A37RYXSF82P86Q,false,15.2,USD,false,false,new
2024-05-17 09:51:43.948 Z,5,B00VUSQU9G,8d4b6861-2d11-4377-97c4-80b933883dae,AEQTYJMD8G5RW,false,20.92,USD,false,false,new
2024-05-17 09:51:43.948 Z,6,B00VUSQU9G,8d4b6861-2d11-4377-97c4-80b933883dae,APSAI9VUG3A9O,false,14.82,USD,false,false,new
2024-05-17 09:51:43.948 Z,7,B00VUSQU9G,8d4b6861-2d11-4377-97c4-80b933883dae,A3A5024GKCOK6V,false,16.86,USD,false,false,new
2024-05-17 09:51:43.948 Z,8,B00VUSQU9G,8d4b6861-2d11-4377-97c4-80b933883dae,A2DF3HGBR01ATY,false,16.85,USD,false,false,new
2024-05-17 09:50:26.295 Z,1,B01BQI4J56,14fb251b-1793-4489-8118-23095cea28d0,A3A5024GKCOK6V,true,14.91,USD,false,false,new
2024-05-17 09:50:26.295 Z,2,B01BQI4J56,14fb251b-1793-4489-8118-23095cea28d0,APSAI9VUG3A9O,false,17.08,USD,false,false,new
2024-05-17 09:50:26.295 Z,3,B01BQI4J56,14fb251b-1793-4489-8118-23095cea28d0,A37RYXSF82P86Q,false,15.14,USD,false,false,new
2024-05-17 09:50:26.295 Z,4,B01BQI4J56,14fb251b-1793-4489-8118-23095cea28d0,A2I0HOF5WGMLJC,false,17.03,USD,false,false,new
2024-05-17 09:50:26.295 Z,5,B01BQI4J56,14fb251b-1793-4489-8118-23095cea28d0,AFF8XSNGT0QQC,false,17.04,USD,false,false,new
2024-05-17 09:50:26.295 Z,6,B01BQI4J56,14fb251b-1793-4489-8118-23095cea28d0,A1G2IX65IQJHUO,false,13.91,USD,false,false,new
2024-05-17 09:51:06.019 Z,1,B01DME6496,843e96d2-0efa-485b-8d0c-aefcec536b8d,A2I0HOF5WGMLJC,true,32.25,USD,false,false,new
2024-05-17 09:51:06.019 Z,2,B01DME6496,843e96d2-0efa-485b-8d0c-aefcec536b8d,A3A5024GKCOK6V,true,32.22,USD,false,false,new
2024-05-17 09:51:06.019 Z,3,B01DME6496,843e96d2-0efa-485b-8d0c-aefcec536b8d,AFF8XSNGT0QQC,false,40.41,USD,false,false,new
2024-05-17 09:51:08.533 Z,1,B07255L8C4,5d77acfb-45ea-42a6-a6cc-ad1abf8cc173,A2I0HOF5WGMLJC,true,36.44,USD,false,false,new
2024-05-17 09:51:08.533 Z,2,B07255L8C4,5d77acfb-45ea-42a6-a6cc-ad1abf8cc173,AFF8XSNGT0QQC,true,36.4,USD,false,false,new
2024-05-17 09:51:08.533 Z,3,B07255L8C4,5d77acfb-45ea-42a6-a6cc-ad1abf8cc173,AQNACJEM8PUJ1,false,37.38,USD,false,false,new
2024-05-17 09:50:26.567 Z,1,B07F2CJW64,f359655d-4672-4412-8f5f-3fcd9a15ba5d,A2R2RITDJNW1Q6,true,9.99,USD,true,true,new
2024-05-17 09:50:26.567 Z,2,B07F2CJW64,f359655d-4672-4412-8f5f-3fcd9a15ba5d,A3A5024GKCOK6V,false,9.99,USD,false,false,new
2024-05-17 09:50:26.567 Z,3,B07F2CJW64,f359655d-4672-4412-8f5f-3fcd9a15ba5d,A2I0HOF5WGMLJC,false,15.91,USD,false,false,new
2024-05-17 09:50:26.567 Z,4,B07F2CJW64,f359655d-4672-4412-8f5f-3fcd9a15ba5d,APSAI9VUG3A9O,false,10.47,USD,false,false,new
2024-05-17 09:50:26.567 Z,5,B07F2CJW64,f359655d-4672-4412-8f5f-3fcd9a15ba5d,A32YGV37EPHIKJ,false,10.29,USD,false,false,new
2024-05-17 09:50:26.567 Z,6,B07F2CJW64,f359655d-4672-4412-8f5f-3fcd9a15ba5d,AFF8XSNGT0QQC,false,10.45,USD,false,false,new
2024-05-17 09:50:26.567 Z,7,B07F2CJW64,f359655d-4672-4412-8f5f-3fcd9a15ba5d,A1G2IX65IQJHUO,false,11,USD,false,true,new
2024-05-17 09:51:19.886 Z,1,B0826JZPDK,d1fce040-4a33-43b3-b9d4-396e9af38527,A1ECJT9FQ4WMHJ,true,41.56,USD,true,true,new
2024-05-17 09:51:19.886 Z,2,B0826JZPDK,d1fce040-4a33-43b3-b9d4-396e9af38527,APSAI9VUG3A9O,true,37.79,USD,false,false,new
2024-05-17 09:51:19.886 Z,3,B0826JZPDK,d1fce040-4a33-43b3-b9d4-396e9af38527,A1ECJT9FQ4WMHJ,false,41.57,USD,false,false,new
2024-05-17 09:51:19.886 Z,4,B0826JZPDK,d1fce040-4a33-43b3-b9d4-396e9af38527,A2I0HOF5WGMLJC,false,100.13,USD,false,false,new
2024-05-17 09:51:19.886 Z,5,B0826JZPDK,d1fce040-4a33-43b3-b9d4-396e9af38527,A30ENKBMUY8OVX,false,41.88,USD,false,false,new
2024-05-17 09:51:19.886 Z,6,B0826JZPDK,d1fce040-4a33-43b3-b9d4-396e9af38527,A1S6VZ8ADM321W,false,38.96,USD,false,false,new
2024-05-17 09:50:36.631 Z,1,B085L9S6XK,4ee48726-29ee-495a-bf51-e55fc2653cbb,APSAI9VUG3A9O,true,13.05,USD,false,false,new
2024-05-17 09:50:36.631 Z,2,B085L9S6XK,4ee48726-29ee-495a-bf51-e55fc2653cbb,A13NYAASDR0XYP,false,16.3,USD,false,false,new
2024-05-17 09:50:36.631 Z,3,B085L9S6XK,4ee48726-29ee-495a-bf51-e55fc2653cbb,A2I0HOF5WGMLJC,false,14.98,USD,false,false,new
2024-05-17 09:50:36.631 Z,4,B085L9S6XK,4ee48726-29ee-495a-bf51-e55fc2653cbb,A32YGV37EPHIKJ,false,14.99,USD,false,false,new
2024-05-17 09:50:36.631 Z,5,B085L9S6XK,4ee48726-29ee-495a-bf51-e55fc2653cbb,A1WRO17LQ93PQ0,false,17,USD,false,false,new
2024-05-17 09:50:36.631 Z,6,B085L9S6XK,4ee48726-29ee-495a-bf51-e55fc2653cbb,A1WUK73KVX13DN,false,13,USD,false,false,new
2024-05-17 09:51:18.768 Z,1,B09KS8PM9M,10f48d07-f248-42ea-886e-305fde5bf1aa,AFF8XSNGT0QQC,true,116.34,USD,false,false,new
2024-05-17 09:51:18.768 Z,2,B09KS8PM9M,10f48d07-f248-42ea-886e-305fde5bf1aa,A1IGDBOKB92JV2,false,162.11,USD,false,false,new
2024-05-17 09:51:18.768 Z,3,B09KS8PM9M,10f48d07-f248-42ea-886e-305fde5bf1aa,A16A6K36JV9FNV,false,176.21,USD,false,false,new
2024-05-17 09:51:18.768 Z,4,B09KS8PM9M,10f48d07-f248-42ea-886e-305fde5bf1aa,A1ECJT9FQ4WMHJ,false,134.95,USD,false,false,new
2024-05-17 09:51:18.768 Z,5,B09KS8PM9M,10f48d07-f248-42ea-886e-305fde5bf1aa,A16A6K36JV9FNV,false,176.21,USD,false,false,new
2024-05-17 09:51:18.768 Z,6,B09KS8PM9M,10f48d07-f248-42ea-886e-305fde5bf1aa,A2I0HOF5WGMLJC,false,162.1,USD,false,false,new
2024-05-17 09:51:18.768 Z,7,B09KS8PM9M,10f48d07-f248-42ea-886e-305fde5bf1aa,AX1MSLPFCP73H,false,174,USD,false,false,new
2024-05-17 09:51:09.077 Z,1,B09N9R7Y41,d93d01b9-601a-4d39-a0c2-a1493377ef58,A3N08NTTRCAG4E,true,25.25,USD,false,false,new
2024-05-17 09:51:09.077 Z,2,B09N9R7Y41,d93d01b9-601a-4d39-a0c2-a1493377ef58,A3P3S2IKAJMVEY,false,26.58,USD,false,false,new
2024-05-17 09:51:09.077 Z,3,B09N9R7Y41,d93d01b9-601a-4d39-a0c2-a1493377ef58,AFF8XSNGT0QQC,false,31.72,USD,false,false,new
2024-05-17 09:51:09.077 Z,4,B09N9R7Y41,d93d01b9-601a-4d39-a0c2-a1493377ef58,A2I0HOF5WGMLJC,false,37.33,USD,false,false,new
2024-05-17 09:51:09.077 Z,5,B09N9R7Y41,d93d01b9-601a-4d39-a0c2-a1493377ef58,A147ASZ83GESTI,false,25.29,USD,false,false,new
2024-05-17 09:51:09.077 Z,6,B09N9R7Y41,d93d01b9-601a-4d39-a0c2-a1493377ef58,A1P9J2X44V0T5A,false,32,USD,false,false,new
2024-05-17 09:51:09.077 Z,7,B09N9R7Y41,d93d01b9-601a-4d39-a0c2-a1493377ef58,A1G2IX65IQJHUO,false,26.95,USD,false,false,new
2024-05-17 09:51:27.127 Z,1,B0BPTNXJ8D,ce823404-451d-4ea1-b8f2-529a9c3130db,AFF8XSNGT0QQC,true,45.88,USD,false,false,new
2024-05-17 09:51:27.127 Z,2,B0BPTNXJ8D,ce823404-451d-4ea1-b8f2-529a9c3130db,A2I0HOF5WGMLJC,true,45.94,USD,false,false,new
2024-05-17 09:51:27.127 Z,3,B0BPTNXJ8D,ce823404-451d-4ea1-b8f2-529a9c3130db,APSAI9VUG3A9O,false,49.08,USD,false,false,new
2024-05-17 09:51:27.127 Z,4,B0BPTNXJ8D,ce823404-451d-4ea1-b8f2-529a9c3130db,A3A5024GKCOK6V,false,51.38,USD,false,false,new
2024-05-17 09:51:27.127 Z,5,B0BPTNXJ8D,ce823404-451d-4ea1-b8f2-529a9c3130db,A2DF3HGBR01ATY,false,49.09,USD,false,false,new
2024-05-17 09:51:27.127 Z,6,B0BPTNXJ8D,ce823404-451d-4ea1-b8f2-529a9c3130db,A37RYXSF82P86Q,false,49.1,USD,false,false,new
